Date,Temperature (°C),Precipitation (mm),Incoming Shortwave Radiation (W/m²),Wind Speed (m/s),Humidity (%)
2/1/2023,-3.1,0,70,4.5,78
2/2/2023,-4.5,0.2,85,5.1,81
2/3/2023,-6.2,1.5,60,3.9,85
2/4/2023,-8,5.3,40,6.2,90
2/5/2023,-7.5,2.1,55,5.5,88
2/6/2023,-5.8,0.1,100,4.1,75
2/7/2023,-3.9,0,120,3.5,70
2/8/2023,-2.1,0,115,3.8,72
2/9/2023,-0.5,0,130,3.1,68
2/10/2023,1.2,0.5,90,4.8,77
2/11/2023,0.5,3,70,5.9,86
2/12/2023,-1.8,7.5,50,7.1,92
2/13/2023,-3.5,4.2,65,6.8,91
2/14/2023,-4.8,1,80,5,85
2/15/2023,-6,0,105,4.2,79
2/16/2023,-4,0,110,3.7,75
2/17/2023,-2.5,0,125,3.3,70
2/18/2023,-0.1,0,135,2.9,65
2/19/2023,1.8,0.8,100,4,73
2/20/2023,0.9,2.5,80,5.2,80
